captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate,Target
image (question),XAJI0,XAJI0,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.45,10,1.0
image (question),PBHSA,PBHSA,1,4.54,1.0,HUMAN_AGENT,G1_Baseline,2,0.44,10,1.0
image (adversarial),V3A3Z,MDD4V,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.36,10,0.0
image (question),30T9N,UZBIK,0,9.03,0.0,HUMAN_AGENT,G1_Baseline,4,0.36,10,0.0
image (semantic),CIDKW,CIDKW,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.33,10,1.0
image (semantic),J7XVG,J7XVG,1,9.93,1.0,HUMAN_AGENT,G1_Baseline,4,0.35,10,1.0
image (semantic),XUY41,XUY41,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.46,10,1.0
image (question),C6UZH,C6UZH,1,4.85,1.0,HUMAN_AGENT,G1_Baseline,3,0.38,10,1.0
image (adversarial),IUJV6,IUJV6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.37,10,1.0
image (semantic),DBDW2,DBDW2,1,9.97,1.0,HUMAN_AGENT,G1_Baseline,3,0.42,10,1.0
image (semantic),T84AZ,T84AZ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.48,10,1.0
image (question),MKFAZ,DW4SH,0,6.55,0.0,HUMAN_AGENT,G1_Baseline,4,0.35,10,0.0
image (adversarial),NF877,NF877,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.36,10,1.0
image (adversarial),N93II,9TEX8,0,8.71,0.0,HUMAN_AGENT,G1_Baseline,4,0.49,10,0.0
image (question),FSV87,FSV87,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.44,10,1.0
image (adversarial),9XPSE,9XPSE,1,4.61,1.0,HUMAN_AGENT,G1_Baseline,2,0.31,10,1.0
image (adversarial),HCWI6,HCWI6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.31,10,1.0
image (semantic),RT05U,RT05U,1,3.68,1.0,HUMAN_AGENT,G1_Baseline,2,0.46,10,1.0
image (semantic),PPQ0Y,PPQ0Y,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.32,10,1.0
image (adversarial),2DGTF,34DXT,0,3.53,0.0,HUMAN_AGENT,G1_Baseline,2,0.36,10,0.0
image (semantic),AD1IO,FAO72,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.34,10,0.0
image (semantic),KZ02X,KZ02X,1,3.41,1.0,HUMAN_AGENT,G1_Baseline,3,0.33,10,1.0
image (question),0CLBR,0CLBR,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.33,10,1.0
image (question),GVYIE,GVYIE,1,3.57,1.0,HUMAN_AGENT,G1_Baseline,4,0.35,10,1.0
image (semantic),XULJY,XULJY,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.35,10,1.0
image (adversarial),XQ77A,XQ77A,1,4.49,1.0,HUMAN_AGENT,G1_Baseline,4,0.5,10,1.0
image (question),J755N,J755N,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.39,10,1.0
image (adversarial),W9XA3,EDTJV,0,3.94,0.0,HUMAN_AGENT,G1_Baseline,3,0.49,10,0.0
image (semantic),ZHWJR,ZHWJR,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.32,10,1.0
image (semantic),BME9F,BME9F,1,3.78,1.0,HUMAN_AGENT,G1_Baseline,3,0.41,10,1.0
image (adversarial),8YFBN,8YFBN,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.33,10,1.0
image (adversarial),N78BM,N78BM,1,6.92,1.0,HUMAN_AGENT,G1_Baseline,4,0.35,10,1.0
image (adversarial),5907I,A0L72,0,0,0.0,FAILURE_MLLM,G1_Baseline,2,0.5,10,0.0
image (adversarial),53J2D,53J2D,1,9.43,1.0,HUMAN_AGENT,G1_Baseline,2,0.47,10,1.0
image (adversarial),M35IX,KXO9T,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.37,10,0.0
image (question),7E8G8,7E8G8,1,8.1,1.0,HUMAN_AGENT,G1_Baseline,3,0.31,10,1.0
image (semantic),LVSNU,LVSNU,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.31,10,1.0
image (question),7TZ0Y,XE6SY,0,7.36,0.0,HUMAN_AGENT,G1_Baseline,3,0.39,10,0.0
image (adversarial),LZTGX,LZTGX,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.44,10,1.0
image (semantic),KTAKP,KTAKP,1,6.1,1.0,HUMAN_AGENT,G1_Baseline,4,0.42,10,1.0
image (question),HR62G,HR62G,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.36,10,1.0
image (adversarial),M31YI,M31YI,1,6.33,1.0,HUMAN_AGENT,G1_Baseline,2,0.33,10,1.0
image (semantic),4COWG,4COWG,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.38,10,1.0
image (question),XA11D,XA11D,1,3.35,1.0,HUMAN_AGENT,G1_Baseline,3,0.34,10,1.0
image (semantic),I4Q2Y,I4Q2Y,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.42,10,1.0
image (semantic),ZS3T6,ZS3T6,1,4.73,1.0,HUMAN_AGENT,G1_Baseline,4,0.47,10,1.0
image (adversarial),W1SWJ,W1SWJ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.44,10,1.0
image (semantic),LTEIY,LTEIY,1,6.8,1.0,HUMAN_AGENT,G1_Baseline,4,0.34,10,1.0
image (question),OHP6V,OHP6V,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.3,10,1.0
image (question),AM148,AM148,1,7.22,1.0,HUMAN_AGENT,G1_Baseline,3,0.41,10,1.0
image (question),HHPBM,HHPBM,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.46,10,1.0
image (adversarial),QEWAO,QBNHL,0,3.95,0.0,HUMAN_AGENT,G1_Baseline,4,0.43,10,0.0
image (question),1N13J,1N13J,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.39,10,1.0
image (adversarial),9MX2X,IRE8Q,0,7.35,0.0,HUMAN_AGENT,G1_Baseline,2,0.49,10,0.0
image (adversarial),JNV8Z,JNV8Z,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.49,10,1.0
image (question),7U6N7,ZKY22,0,4.7,0.0,HUMAN_AGENT,G1_Baseline,2,0.32,10,0.0
image (semantic),UBTXC,UBTXC,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.37,10,1.0
image (question),D8W3Z,3TRP0,0,4.89,0.0,HUMAN_AGENT,G1_Baseline,3,0.34,10,0.0
image (question),J43D5,J43D5,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.45,10,1.0
image (question),NB4GH,A8DZR,0,4.93,0.0,HUMAN_AGENT,G1_Baseline,3,0.37,10,0.0
image (semantic),1YXR2,1YXR2,1,0,1.0,SUCCESS_MLLM,G1_Baseline,2,0.36,10,1.0
image (semantic),LURTP,JEGET,0,4.9,0.0,HUMAN_AGENT,G1_Baseline,4,0.41,10,0.0
image (adversarial),1GHR0,1GHR0,1,0,1.0,SUCCESS_MLLM,G1_Baseline,4,0.42,10,1.0
image (question),KMKZE,KMKZE,1,9.61,1.0,HUMAN_AGENT,G1_Baseline,2,0.49,10,1.0
image (adversarial),W1DAK,J5ECR,0,0,0.0,FAILURE_MLLM,G1_Baseline,3,0.39,10,0.0
image (adversarial),UYF38,UYF38,1,5.91,1.0,HUMAN_AGENT,G1_Baseline,2,0.5,10,1.0
image (semantic),VW1N6,VW1N6,1,0,1.0,SUCCESS_MLLM,G1_Baseline,3,0.47,10,1.0
