captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate
image (question),WAJHZ,WAJHZ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),TUBCH,TUBCH,1,4.39,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),WTHU3,WTHU3,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),FPJG2,FPJG2,1,3.68,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),5V3ZT,5V3ZT,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),KW6MG,KW6MG,1,4.6,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),KCHDJ,KCHDJ,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),FMXYX,FMXYX,1,4.2,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),ZFN9W,ZFN9W,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),L2B43,L2B43,1,4.48,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),86LWN,86LWN,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),JHTJU,JHTJU,1,4.54,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),9SCBD,9SCBD,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),XVNVQ,AZXTJ,0,9.03,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),WDPQ8,WDPQ8,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),SF75K,SF75K,1,4.39,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),MF877,MF877,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),A764K,A764K,1,6.97,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),CZ49T,CZ49T,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),RTJ5P,YYNXM,0,8.29,0.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),6QHCA,6QHCA,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),HCWH6,HCWH6,1,4.67,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),XGE7U,XGE7U,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),RPDXM,RPDXM,1,8.1,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),X9DNL,X9DNL,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),GQPJH,GQPJH,1,9.03,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),TB949,TB949,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),RGNBN,RGNBN,1,8.49,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),QP89T,QP89T,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (semantic),GGBZB,GGBZB,1,7.09,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (adversarial),S5F8C,S5F8C,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (question),C5N8U,C5N8U,1,7.34,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (question),PUS7G,PUS7G,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
image (adversarial),JEWQ7,JEWQ7,1,7.35,1.0,HUMAN_AGENT,G1_Baseline,0.5,0.5,0.5
image (semantic),UDTSE,UDTSE,1,0,1.0,SUCCESS_MLLM,G1_Baseline,0.5,0.5,0.5
